word,categories
chillin,['leisure']
chills,"['bio', 'health']"
chiropract,"['bio', 'health']"
chlamydia,"['bio', 'health', 'sexual']"
chocolate,['percept']
choice,"['cogmech', 'insight']"
choir,"['leisure', 'percept', 'hear']"
chok,"['bio', 'health']"
cholester,"['bio', 'health']"
choos,"['cogmech', 'insight']"
chore,['home']
chorus,['leisure']
chow,"['bio', 'ingest']"
christ,['relig']
christian,['relig']
christmas,"['relativ', 'time', 'relig']"
chronic,"['bio', 'health']"
chuckl,"['affect', 'posemo']"
church,['relig']
cigar,"['bio', 'ingest']"
cinema,['leisure']
circle,"['percept', 'see']"
citizen,"['social', 'humans']"
citizen,"['social', 'humans']"
citizens,"['social', 'humans']"
citrus,['percept']
city,"['relativ', 'space']"
clarif,"['cogmech', 'insight']"
class,['work']
classes,['work']
classmate,['work']
classroom,['work']
clean,['home']
clear,"['cogmech', 'certain']"
clearly,"['funct', 'adverb', 'cogmech', 'certain']"
clergy,['relig']
clever,"['affect', 'posemo']"
click,"['percept', 'see']"
climb,"['motion', 'relativ', 'achieve']"
clinic,"['bio', 'health']"
clock,"['time', 'relativ']"
close,"['cogmech', 'incl', 'space', 'relativ']"
closed,"['space', 'relativ']"
closely,"['motion', 'relativ']"
closer,"['space', 'relativ']"
closes,"['motion', 'relativ']"
closest,"['space', 'relativ']"
closet,['home']
closets,['home']
closing,"['motion', 'relativ']"
closure,"['cogmech', 'insight', 'achieve']"
clothes,"['bio', 'body']"
club,['leisure']
coach,['leisure']
cock,"['bio', 'body', 'sexual', 'swear']"
cocks,"['bio', 'body', 'sexual', 'swear']"
cocktail,"['bio', 'ingest', 'leisure']"
codeine,"['bio', 'health']"
coffee,"['bio', 'ingest', 'leisure']"
coffin,['death']
cohere,"['cogmech', 'insight']"
coin,['money']
coins,['money']
coke,"['bio', 'ingest']"
cold,"['percept', 'feel']"
collab,['work']
colleague,"['social', 'friend', 'work']"
colleg,['work']
cologne,['percept']
colon,"['bio', 'body']"
colono,"['bio', 'health']"
colons,"['bio', 'body']"
color,"['percept', 'see']"
colour,"['percept', 'see']"
column,"['percept', 'see']"
com,['work']
coma,"['bio', 'health']"
come,"['verb', 'present', 'cogmech', 'incl', 'motion', 'relativ']"
comed,"['affect', 'posemo', 'leisure']"
comes,"['verb', 'present', 'motion', 'relativ']"
comfort,"['affect', 'posemo']"
comic,['leisure']
coming,"['motion', 'relativ']"
comment,['social']
commerc,['work']
commit,"['cogmech', 'certain']"
commitment,"['affect', 'posemo', 'cogmech', 'certain']"
commits,"['cogmech', 'certain']"
committ,"['cogmech', 'certain']"
common,"['relativ', 'time']"
commun,['social']
commute,['work']
commuting,['work']
companies,['work']
companion,"['social', 'friend']"
companions,"['social', 'friend']"
companionship,['social']
company,['work']
compassion,"['social', 'affect', 'posemo']"
compel,"['cogmech', 'cause']"
compensat,['money']
compet,['achieve']
complain,"['social', 'affect', 'negemo']"
complete,"['cogmech', 'certain']"
completed,"['cogmech', 'certain']"
completely,"['funct', 'adverb', 'cogmech', 'certain']"
completes,"['cogmech', 'certain']"
complex,"['cogmech', 'insight']"
compliance,"['cogmech', 'cause']"
complica,"['cogmech', 'insight']"
complie,"['cogmech', 'cause']"
compliment,"['affect', 'posemo']"
comply,"['cogmech', 'cause']"
compreh,"['cogmech', 'insight']"
compulsiv,"['cogmech', 'inhib']"
comput,['work']
comrad,"['social', 'friend']"
concentrat,"['cogmech', 'insight']"
concerned,['affect']
concert,"['leisure', 'percept', 'hear']"
conclud,"['cogmech', 'insight', 'cause', 'achieve']"
conclus,"['cogmech', 'insight', 'achieve']"
condo,['home']
condom,"['bio', 'sexual']"
condominium,['home']
condoms,"['bio', 'sexual']"
condos,['home']
conferenc,['work']
confess,"['social', 'cogmech', 'insight', 'relig']"
confide,['social']
confided,['social']
confidence,"['affect', 'posemo', 'cogmech', 'certain', 'achieve']"
confident,"['affect', 'posemo', 'cogmech', 'certain', 'achieve']"
confidently,"['affect', 'posemo', 'cogmech', 'certain', 'achieve']"
confides,['social']
confiding,['social']
confin,"['cogmech', 'inhib']"
conflict,"['cogmech', 'inhib']"
confront,"['affect', 'negemo', 'anger']"
confus,"['affect', 'negemo', 'anx', 'cogmech', 'tentat']"
congest,"['bio', 'health']"
conglom,['work']
congregat,['social']
connection,"['relativ', 'space']"
conquer,['achieve']
conscientious,['achieve']
conscious,"['cogmech', 'insight']"
consequen,"['cogmech', 'cause']"
conserv,"['cogmech', 'inhib']"
consider,"['cogmech', 'insight']"
considerate,"['affect', 'posemo']"
considered,"['cogmech', 'insight']"
considering,"['cogmech', 'insight']"
considers,"['cogmech', 'insight']"
constant,"['relativ', 'time']"
constantly,"['funct', 'adverb', 'relativ', 'time']"
constipat,"['bio', 'health']"
constrain,"['cogmech', 'inhib']"
constrict,"['cogmech', 'inhib']"
consult,"['social', 'work']"
consumer,"['work', 'money']"
contact,['social']
contag,"['bio', 'health']"
contain,"['cogmech', 'inhib']"
contemplat,"['cogmech', 'insight']"
contempt,"['affect', 'negemo', 'anger']"
contented,"['affect', 'posemo']"
contentment,"['affect', 'posemo']"
contingen,"['cogmech', 'tentat']"
continu,"['time', 'relativ']"
contracts,['work']
contradic,"['social', 'affect', 'negemo', 'anger', 'cogmech', 'inhib']"
control,"['cogmech', 'cause', 'inhib', 'achieve']"
convent,['relig']
convents,['relig']
convers,['social']
convinc,"['affect', 'posemo']"
cook,"['bio', 'ingest', 'leisure']"
cool,"['affect', 'posemo', 'assent', 'percept', 'feel']"
cornea,"['bio', 'body']"
corner,"['space', 'relativ']"
corners,"['space', 'relativ']"
coronar,"['bio', 'health']"
coroner,"['death', 'death']"
corp,['work']
corporat,"['work', 'money']"
corps,['work']
corpse,['death']
correct,"['cogmech', 'certain']"
correlat,"['cogmech', 'insight']"
cos,"['cogmech', 'cause']"
cost,['money']
couch,['home']
cough,"['bio', 'health']"
could,"['verb', 'funct', 'auxverb', 'cogmech', 'discrep']"
